ID_CLIENT,CLERK_TYPE,PAYMENT_DAY,APPLICATION_SUBMISSION_TYPE,QUANT_ADDITIONAL_CARDS,POSTAL_ADDRESS_TYPE,SEX,MARITAL_STATUS,QUANT_DEPENDANTS,EDUCATION_LEVEL,STATE_OF_BIRTH,CITY_OF_BIRTH,NACIONALITY,RESIDENCIAL_STATE,RESIDENCIAL_CITY,RESIDENCIAL_BOROUGH,FLAG_RESIDENCIAL_PHONE,RESIDENCIAL_PHONE_AREA_CODE,RESIDENCE_TYPE,MONTHS_IN_RESIDENCE,FLAG_MOBILE_PHONE,FLAG_EMAIL,PERSONAL_MONTHLY_INCOME,OTHER_INCOMES,FLAG_VISA,FLAG_MASTERCARD,FLAG_DINERS,FLAG_AMERICAN_EXPRESS,FLAG_OTHER_CARDS,QUANT_BANKING_ACCOUNTS,QUANT_SPECIAL_BANKING_ACCOUNTS,PERSONAL_ASSETS_VALUE,QUANT_CARS,COMPANY,PROFESSIONAL_STATE,PROFESSIONAL_CITY,PROFESSIONAL_BOROUGH,FLAG_PROFESSIONAL_PHONE,PROFESSIONAL_PHONE_AREA_CODE,MONTHS_IN_THE_JOB,PROFESSION_CODE,OCCUPATION_TYPE,MATE_PROFESSION_CODE,EDUCATION_LEVEL.1,FLAG_HOME_ADDRESS_DOCUMENT,FLAG_RG,FLAG_CPF,FLAG_INCOME_PROOF,PRODUCT,FLAG_ACSP_RECORD,AGE,RESIDENCIAL_ZIP_3,PROFESSIONAL_ZIP_3,TARGET_LABEL
3,2,1,0,0,0,0,1,3,4,3,3,1,RN,Parnamirim,Boa Esperanca,0,3,3,3,1,1,4246,585,0,0,1,0,0,3,2,3,0,1,3,3,3,1,4,3,4,3,2,4,0,0,0,1,1,1,36,3,3,0
6,0,0,0,0,1,1,1,4,3,3,3,1,MG,ALFENAS,Campos Eliseos,1,3,2,3,1,0,2752,309,0,1,1,1,0,3,3,3,0,1,3,3,3,0,4,2,4,3,3,2,1,0,1,1,0,0,38,3,2,1
8,0,0,0,0,0,1,1,4,3,3,3,0,SP,Itapecerica da Serra,Lagoa,0,3,3,3,1,1,5037,469,1,1,0,0,0,4,3,4,0,1,3,3,4,1,3,2,3,3,4,4,1,0,1,0,1,0,25,3,3,1
9,0,0,0,0,1,0,1,3,2,3,3,1,SP,MACATUBA,PLANALTO,1,1,3,1,0,0,2842,415,0,0,1,0,1,2,3,3,0,1,3,4,3,0,3,3,3,1,5,3,0,0,1,0,1,1,48,1,3,0
10,0,0,0,0,0,0,1,3,3,3,3,1,RS,PORTO ALEGRE,BOM JESUS,0,3,4,3,1,1,2345,534,0,0,1,1,1,4,4,3,0,1,3,4,3,1,3,4,3,3,3,3,0,1,1,1,1,0,33,3,3,0
12,0,0,0,0,1,1,1,3,3,3,3,0,MG,ARAGUARI,NOVO HORIZONTE,0,4,3,3,1,0,3059,722,0,1,1,1,1,3,3,3,0,1,3,1,3,0,3,3,3,3,3,3,0,1,1,0,1,0,37,3,3,1
13,1,0,0,0,1,0,1,3,3,3,3,1,MG,ENGENHEIRO NAVARRO,CENTRO,0,4,3,2,0,1,2147,459,1,1,0,0,1,3,3,3,0,1,4,3,3,1,4,3,3,3,2,3,1,0,1,1,0,1,29,5,2,1
14,0,0,0,0,1,1,0,3,3,3,2,0,SP,Guarulhos,Cidade Martins,1,5,3,2,0,0,4711,564,1,1,0,0,1,3,3,4,0,1,3,3,3,1,3,3,3,4,3,4,1,0,1,1,0,1,35,4,3,1
15,0,0,0,0,1,0,1,3,3,3,4,1,RN,NATAL,PLANALTO,1,3,3,2,0,0,979,605,1,1,0,1,1,2,2,3,0,0,3,2,3,1,3,1,3,3,3,3,1,0,1,1,1,1,25,3,1,1
18,0,0,0,1,1,1,0,4,3,4,4,0,RJ,MENDES,HUMBERTO ANTUNES,0,3,3,3,1,0,3700,528,0,0,0,1,1,3,3,3,1,1,3,3,3,0,3,1,5,3,4,3,0,0,1,1,1,0,32,3,3,1
